Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Building Permit Number,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Bedrooms to be determined,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2016-079,(2) Predevelopment Feasibility,1515 South Van Ness,1515,South Van Ness,Ave,94110,6571,8,9,Mission,Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,06/30/2024,,Chinatown Community Development Center,,,2014.102,2014.1020 (http://propertymap.sfplanning.org/?search=2014.1020),"2014.1020CUA,2014.1020ENV,2014.1020U",08/11/2016,,,122,122,0,100,0,6,36,44,36,0,0,,27,1,2bd,86,0,0,31,0,31,0,29,17,19,24,0,15,18,0,0,0,0,0,0,0,0,37.7489588,-122.4154905,"(37.7489588, -122.4154905)"
2008-007,(5) First Construction Document Issued,The Westerly,2800,Sloat,Blvd,94116,,,4,Sunset/Parkside,Parkside,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,10/05/2015,,"Ocean Park Development, LLC",,,2005.1066,2005.1066 (http://propertymap.sfplanning.org/?search=2005.1066),"2005.1066C,2005.1066E,2005.1066E_3,2005.1066K,2005.1066P",11/13/2008,On-site BMR Project,,56,7,49,13,0,0,2,5,0,0,0,,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,37.7360237,-122.5045782,"(37.7360237, -122.5045782)"
2016-019,(5) First Construction Document Issued,88 At the Park,88,Arkansas,St,94107,3953,2,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,11/09/2016,,01/17/2018,,Patrick McNerney,,,2015-000453PRJ,2015-000453PRJ (http://propertymap.sfplanning.org/?search=2015-000453PRJ),"2014-003150PPA,2015-000453CND,2015-000453ENV,2015-000453ENX,2015-000453SHD",03/03/2016,On-site BMR Project,201511021443,127,25,102,20,0,5,10,8,2,0,0,,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,37.76535092,-122.399134,"(37.76535092, -122.399134)"
2018-019,(4) Site Work Permit Issued,450 O'Farrell St,450,O'Farrell,St,94102,317,"007, 009, 011",5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,05/13/2020,,09/11/2020,,450 O'Farrell Partners LLC,,,2013.1535,2013.1535 (http://propertymap.sfplanning.org/?search=2013.1535),,,On-site BMR Project,201810294361,176,23,153,13,0,5,9,9,0,0,0,,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,37.7861242,-122.412454,"(37.7861242, -122.412454)"
2016-010,(5) First Construction Document Issued,2238-2254 Market,2238,Market,St,94114,3560,"005, 006, 007, 008, 025, 026",8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,12/08/2017,12/03/2018,12/03/2018,,Prado Group,,"VP Duboce Triangle, LLC",2014.151,2014.1510 (http://propertymap.sfplanning.org/?search=2014.1510),"2014.1510CND,2014.1510CUA,2014.1510ENV,2014.1510SHD,2014.1510SUB,2014.1510U",02/11/2016,On-site BMR Project; Fee Payment,201703312940,45,5,40,11,0,2,1,2,0,0,0,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,37.765478,-122.4320361,"(37.765478, -122.4320361)"
2021-019,(3) Design with Entitlements Approved,1200 Van Ness,1200,Van Ness,Ave,94109,691,"003, 005",3,Nob Hill,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,09/22/2023,11/15/2025,,,,2015-012577PRJ,2015-012577PRJ (http://propertymap.sfplanning.org/?search=2015-012577PRJ),,,,201609299193,107,0,107,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7867765,-122.4213349,"(37.7867765, -122.4213349)"
2019-026,(4) Site Work Permit Issued,55 Belcher St,55,Belcher,St,94114,3537,100,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,02/15/2022,,11/19/2021,,,,,2016-003994PRJ,2016-003994PRJ (http://propertymap.sfplanning.org/?search=2016-003994PRJ),,11/21/2019,On-site BMR Project,201905069886,25,5,20,20,0,0,3,2,0,0,0,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,37.7685697,-122.4298466,"(37.7685697, -122.4298466)"
2016-098,(1) Preliminary Phase,"HPSY II-CP, Block 2B",,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,,,,,12/31/2028,,,,,Not Applicable,,,,,,130,129,1,99,0,0,0,0,0,0,0,129,0,1,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,37.71598266,-122.3851199,"(37.71598266, -122.3851199)"
2018-050,(2) Predevelopment Feasibility,1049 Market,1049,Market,St,94103,3703,67,6,South of Market,South of Market,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,12/01/2022,,,12/01/2022,,Tenderloin Housing Clinic,,,,  (http://propertymap.sfplanning.org/?search=),,,,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7812365,-122.4111989,"(37.7812365, -122.4111989)"
2019-035,(4) Site Work Permit Issued,344 14th St,344,14th,St,94103,3532,13,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,07/23/2021,,,,,2014.0948,2014.0948 (http://propertymap.sfplanning.org/?search=2014.0948),,07/25/2019,,202010156530,62,8,54,13,0,0,3,5,0,0,0,,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,22,0,0,0,0,37.768459,-122.421089,"(37.768459, -122.421089)"
2019-013,(2) Predevelopment Feasibility,Pier 70 C2A,,,,94107,4113,2,10,Potrero Hill,Potrero Hill,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,Young Community Developers,Chinatown Community Development Center,,,  (http://propertymap.sfplanning.org/?search=),,,,,100,100,0,100,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.758483,-122.385555,"(37.758483, -122.385555)"
2017-023,(4) Site Work Permit Issued,301 6th St,301,6th,St,94107,3753,122,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,03/26/2019,,09/24/2019,,"Reuben, Junius & Rose, LLP",,,2013.0538,2013.0538 (http://propertymap.sfplanning.org/?search=2013.0538),"2013.0538E,2013.0538ENX,2013.0538SHD,2013.0538TDM,2013.0538U",,,200007104648,95,13,82,14,0,3,5,5,0,0,0,,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,37.77849,-122.4051143,"(37.77849, -122.4051143)"
2020-042,(5) First Construction Document Issued,Granada Hotel,1000,Sutter,St,94109,279,5,3,Nob Hill,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,202109138252,232,232,0,100,0,0,0,0,0,0,0,,0,0,0,0,0,0,232,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78831,-122.4173,"(37.78831, -122.4173)"
2023-020,(2) Predevelopment Feasibility,528 Natoma,549,Holloway,Ave,94112,3726,61,6,South of Market,South of Market,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,,4,4,0,100,0,0,0,4,0,0,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,37.77973,-122.40852,"(37.77973, -122.40852)"
2016-093,(5) First Construction Document Issued,Mission Bay South Block 9A,400,China Basin,St,94158,8719,5,6,Mission Bay,South of Market,OCII,Limited Equity Program,Mission Bay,New Construction,Ownership,,,,,04/15/2022,,Curtis Development,,,Not Applicable,,,,,202103166613,148,148,0,100,0,0,50,63,35,0,0,,7,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,29,48,40,0,31,0,0,0,0,37.7720725,-122.3885705,"(37.7720725, -122.3885705)"
2021-013,(4) Site Work Permit Issued,139 Dore,139,Dore,St,94103,3519,60,6,South of Market,South of Market,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,09/08/2021,,10/29/1986,,,,"Conard House, Inc.",,,,  (http://propertymap.sfplanning.org/?search=),,,,8612724,6,6,0,100,0,0,0,0,6,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37.7729774,-122.4116719,"(37.7729774, -122.4116719)"
2016-088,(3) Design with Entitlements Approved,Transbay Block 2 West (Senior),,,,94105,,,6,Financial District/South Beach,South of Market,OCII,Multifamily Rental Program,Transbay,New Construction,Rental,,02/09/2024,,,02/09/2024,01/15/2026,,,,,,,,,,151,150,1,99,0,39,111,1,0,0,0,,76,1,2bd,0,150,0,30,0,30,0,0,24,0,66,0,60,0,0,0,0,0,0,0,0,0,37.78912663,-122.3927523,"(37.78912663, -122.3927523)"
1998-010,(5) First Construction Document Issued,Ambassador Hotel,55,Mason,St,94102,340,1,5,Tenderloin,Downtown/Civic Center,MOHCD/SFRA,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,09/02/2021,05/16/2023,Tenderloin Neighborhood Development Corporation (TNDC),,,2020-000966PRJ,2020-000966PRJ (http://propertymap.sfplanning.org/?search=2020-000966PRJ),,,,200006243578,134,134,0,100,134,0,0,0,0,0,0,,14,1,0,0,0,0,62,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,37.7841707,-122.4094741,"(37.7841707, -122.4094741)"
2021-028,(3) Design with Entitlements Approved,425 Broadway,425,Broadway,0,94133,163,2,3,North Beach,Financial District,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,12/15/2023,,,,,2017-015678PRJ,2017-015678PRJ (http://propertymap.sfplanning.org/?search=2017-015678PRJ),,12/16/2021,On-site BMR Project; Fee Payment,,42,5,37,12,0,0,2,2,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,37.7979292,-122.4042956,"(37.7979292, -122.4042956)"
2015-033e,(3) Design with Entitlements Approved,Sunnydale Block 9,1652,Sunnydale,Ave,94134,6310,1,10,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,,,,,,,Related California,,,,2010.0305PHA-06 (http://propertymap.sfplanning.org/?search=2010.0305PHA-06),,,,202211146447,100,100,0,100,0,0,30,35,25,10,0,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.71362,-122.42197,"(37.71362, -122.42197)"
2016-124,(5) First Construction Document Issued,300/350 Octavia,300,Octavia,St,94102,,,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,06/21/2019,,10/16/2018,,DDG 235 Valencia Realty LLC,,,2014-002330PRJ,2014-002330PRJ (http://propertymap.sfplanning.org/?search=2014-002330PRJ),,10/17/2016,On-site BMR Project,200810013158,24,3,21,13,0,2,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,37.7748568,-122.4240036,"(37.7748568, -122.4240036)"
2023-015,(3) Design with Entitlements Approved,469 Stevenson,469,Stevenson,St,94103,3704,45,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,04/18/2025,,,,,2016-014833PRJ,2016-014833PRJ (http://propertymap.sfplanning.org/?search=2016-014833PRJ),,04/20/2023,On-site BMR Project; Fee Payment,,495,66,429,13,0,26,19,13,8,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,14,0,0,0,14,0,0,0,0,37.782,-122.40894,"(37.782, -122.40894)"
2020-030,(3) Design with Entitlements Approved,955 Post,955,Post,St,94109,,,3,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,11/18/2022,,,,,2015-015950PRJ,2015-015950PRJ (http://propertymap.sfplanning.org/?search=2015-015950PRJ),,11/19/2020,On-site BMR Project,,69,17,52,25,0,0,6,9,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,4,0,0,0,0,37.7868983,-122.4176586,"(37.7868983, -122.4176586)"
2016-129,(3) Design with Entitlements Approved,CP-9a South,89,Harney,Way,94124,5000,35,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,,07/01/2023,,,07/01/2023,12/23/2023,,,,,  (http://propertymap.sfplanning.org/?search=),,,,201712297625,124,13,111,10,0,0,0,0,0,0,0,,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,37.711111,-122.3864271,"(37.711111, -122.3864271)"
2018-015,(5) First Construction Document Issued,255 Shipley St,,,,94107,,,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,08/21/2020,,,,,2016-012030PRJ,2016-012030PRJ (http://propertymap.sfplanning.org/?search=2016-012030PRJ),,,,,24,3,21,13,0,2,0,1,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37.7788481,-122.4039791,"(37.7788481, -122.4039791)"
2020-035,(4) Site Work Permit Issued,1088 Howard,1088,Howard,St,94103,3726,30,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,04/25/2021,,10/22/2022,12/15/2024,,,,2017-009796PRJ,2017-009796PRJ (http://propertymap.sfplanning.org/?search=2017-009796PRJ),,,,201807023483,24,3,21,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.7784205,-122.4093069,"(37.7784205, -122.4093069)"
2016-110,(4) Site Work Permit Issued,1270 Mission,1270,Mission,St,94103,3701,21,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,10/17/2019,,10/26/2018,,,,,2014.0926,2014.0926 (http://propertymap.sfplanning.org/?search=2014.0926),"2014.0926DNX,2014.0926GPA,2014.0926MAP,2014.0926PCA,2014.0926PPA,2014.0926SHD,2014.0926U,2014.0926VAR",10/27/2016,On-site BMR Project,201611303826,299,64,235,21,0,16,33,12,3,0,0,,0,0,0,64,0,0,0,0,0,0,0,0,0,0,61,0,0,3,0,0,0,0,0,0,0,37.776764,-122.4143623,"(37.776764, -122.4143623)"
2016-064,(3) Design with Entitlements Approved,2435-2445 16th,2345-2445,16th,,94110,3965,52,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,06/05/2019,,Steve Vettel,,,2014.1201,2014.1201 (http://propertymap.sfplanning.org/?search=2014.1201),"2014.1201ENV,2014.1201ENX,2014.1201PPA,2014.1201SHD,2014.1201U",06/23/2016,On-site BMR Project,,53,8,45,15,0,0,4,3,1,0,0,,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,37.7655544,-122.4100238,"(37.7655544, -122.4100238)"
2021-023,(3) Design with Entitlements Approved,4512 23rd St,4512,23rd,St,94131,2800,5,8,Twin Peaks,Twin Peaks,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,10/20/2023,,Paramount Estate LLC,,,2019-019698PRJ,2019-019698PRJ (http://propertymap.sfplanning.org/?search=2019-019698PRJ),,10/21/2021,On-site BMR Project,202002265479,13,3,10,23,0,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,37.752591,-122.4432771,"(37.752591, -122.4432771)"
2022-006,(3) Design with Entitlements Approved,2055 Chestnut,2055,Chestnut,St,94123,491,9,2,Marina,Marina,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,,2018-009081PRJ (http://propertymap.sfplanning.org/?search=2018-009081PRJ),,,,,49,9,40,18,0,0,6,2,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,2,0,0,0,0,0,37.800481,-122.4369636,"(37.800481, -122.4369636)"
2017-008,(3) Design with Entitlements Approved,667 Folsom,667,Folsom,St,94107,3750,81,6,Financial District/South Beach,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,01/04/2019,,"Reuben, Junius & Rose, LLP",,,2015-002604PRJ,2015-002604PRJ (http://propertymap.sfplanning.org/?search=2015-002604PRJ),"2015-002604ENV,2015-002604ENX,2015-002604PPA",01/05/2017,Fee Payment,,230,0,230,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7843022,-122.3980118,"(37.7843022, -122.3980118)"
2018-002,(4) Site Work Permit Issued,229 Ellis,229,Ellis,St,94102,331,001A,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,03/20/2020,,,,,,2016-007593PRJ (http://propertymap.sfplanning.org/?search=2016-007593PRJ),,03/22/2018,,201804277608,55,0,55,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7850224,-122.4099596,"(37.7850224, -122.4099596)"
2021-003,(3) Design with Entitlements Approved,1526-1560 Folsom,1526-1560,Folsom,St,94103,3516,"067, 066, 068, 009",6,Mission,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,02/17/2023,,,,,2018-014795PRJ,2018-014795PRJ (http://propertymap.sfplanning.org/?search=2018-014795PRJ),,02/18/2021,,,244,34,210,14,0,9,12,12,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,7,0,0,0,7,0,0,0,0,37.7717464,-122.4147106,"(37.7717464, -122.4147106)"
2018-009,(3) Design with Entitlements Approved,600 20th,600,20th,St,94107,4058,2,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,06/12/2020,,,,,2016-008651PRJ,2016-008651PRJ (http://propertymap.sfplanning.org/?search=2016-008651PRJ),,06/14/2018,,202110019676,21,3,18,14,0,0,1,2,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.760775,-122.387814,"(37.760775, -122.387814)"
2021-006,(4) Site Work Permit Issued,0 Guttenberg,0,Guttenberg,St,94112,6475,55,11,Excelsior,Crocker Amazon,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,11/02/2022,,,,Guttenberg Project,,,,2018-016721PRJ (http://propertymap.sfplanning.org/?search=2018-016721PRJ),,,,"202105110191, 202105110189, 202105110186, 202105110183",19,0,19,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.71059,-122.4434,"(37.71059, -122.4434)"
1987-001,(7) On-Hold / Planning Approval Expired,Coleridge Park Homes,190,Coleridge,St,94110,,,9,Bernal Heights,Bernal Heights,MOHCD/SFRA,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,01/15/2021,06/01/2022,,,,,  (http://propertymap.sfplanning.org/?search=),,,,,49,49,0,100,0,2,43,4,0,0,0,,0,1,1bd,1,48,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,37.7431787,-122.4202893,"(37.7431787, -122.4202893)"
2023-010,(2) Predevelopment Feasibility,1234 Great Highway,1234,Great Highway,0,94122,1701,6,4,Sunset/Parkside,Outer Sunset,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,Tenderloin Neighborhood Development Corporation (TNDC),Self Help For The Elderly,,,  (http://propertymap.sfplanning.org/?search=),,,,,216,215,1,100,0,0,0,0,0,0,0,,0,1,0,0,215,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76309,-122.50951,"(37.76309, -122.50951)"
2021-024,(3) Design with Entitlements Approved,1320 Washington,1320,Washington,St,94109,188,6,3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,11/03/2023,12/27/2025,"Reuben, Junius & Rose, LLP",,,,2018-007380PRJ (http://propertymap.sfplanning.org/?search=2018-007380PRJ),,,,,25,0,25,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7942849,-122.4151808,"(37.7942849, -122.4151808)"
2016-092,(1) Preliminary Phase,"HPSY I, Block 48 (OCII 2)",996,Oakdale,Ave,94124,4591D,"094, 095, 096",10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Rental,,,,,12/31/2023,,,,,Not Applicable,,,,,,18,18,0,100,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,37.7282288,-122.3791714,"(37.7282288, -122.3791714)"
2019-005,(3) Design with Entitlements Approved,828 Brannan St,828,Brannan,St,94103,3780,004E,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,04/23/2021,,"828 Brannan Partners, LLC (c/o The S. Hekemian Group)",,,2015-015789PRJ,2015-015789PRJ (http://propertymap.sfplanning.org/?search=2015-015789PRJ),,04/25/2019,,,50,9,41,18,0,2,3,4,0,0,0,,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,37.7727193,-122.4042071,"(37.7727193, -122.4042071)"
2015-020,(3) Design with Entitlements Approved,San Francisco Overlook,599,Crestmont,St,94131,2636,"025, 028",7,Inner Sunset,Inner Sunset,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,05/12/2017,,"San Francisco Overlook, LLC",,,2004.0093,2004.0093 (http://propertymap.sfplanning.org/?search=2004.0093),"2004.0093C,2004.0093CUA-02,2004.0093E,2004.0093E_3,2004.0093E_5,2004.0093V",05/14/2015,Fee Payment,"201912230336, 201912230319, 201912230349, 201912230263, 201912230285, 201912230272, 201912230347, 201912230348, 201912230260, 201912230314, 201912230292, 201912230254",29,0,29,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.758873,-122.460922,"(37.758873, -122.460922)"
2018-052b,(5) First Construction Document Issued,SFHA Scattered Sites - Great Hwy,2206-2268,Great,Hwy,94116,2301,6,4,Sunset/Parkside,Parkside,MOHCD,Multifamily Securities Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,02/14/2022,02/16/2023,,,,2021-008229PRJ,2021-008229PRJ (http://propertymap.sfplanning.org/?search=2021-008229PRJ),,,,,16,15,1,94,0,0,0,6,10,0,0,,0,1,3 bd,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,37.7452217,-122.5072882,"(37.7452217, -122.5072882)"
2022-010,(3) Design with Entitlements Approved,2955 Mission,2955,Mission,St,94110,6528,25,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,06/07/2024,,,,,2019-023083PRJ,2019-023083PRJ (http://propertymap.sfplanning.org/?search=2019-023083PRJ),,06/09/2022,On-site BMR Project; Fee Payment,202105180518,18,18,0,100,0,6,4,7,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,37.74985,-122.41789,"(37.74985, -122.41789)"
2020-031,(5) First Construction Document Issued,Maison Pacific,1580,Pacific,Ave,94109,573,11,3,Russian Hill,Nob Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,07/21/2021,12/22/2021,,,,,,2018-008259PRJ,2018-008259PRJ (http://propertymap.sfplanning.org/?search=2018-008259PRJ),,,On-site BMR Project; Fee Payment,201912129356,53,9,44,17,0,0,5,3,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,37.7954383,-122.4213345,"(37.7954383, -122.4213345)"
2017-021,(3) Design with Entitlements Approved,1500-1540 Market,1540,Market,St,94102,836,5,6,Hayes Valley,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,06/14/2019,,Build Inc,,,2021-007611DNX,2021-007611DNX (http://propertymap.sfplanning.org/?search=2021-007611DNX),,,,201612094535,460,0,460,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7750244,-122.4199593,"(37.7750244, -122.4199593)"
2017-038,(5) First Construction Document Issued,78 Haight St (Parcel U),78,Haight,St,94102,853,21,6,Hayes Valley,Western Addition,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,03/15/2022,,,03/15/2022,,Tenderloin Neighborhood Development Corporation (TNDC),,,2019-021893PRJ,2019-021893PRJ (http://propertymap.sfplanning.org/?search=2019-021893PRJ),,04/01/2020,,,63,63,0,100,0,58,5,0,0,0,0,,10,0,0,0,0,32,32,0,32,0,0,32,0,4,0,27,0,0,0,0,0,0,0,0,0,37.7731783,-122.4234201,"(37.7731783, -122.4234201)"
